,0,1,2
দিনের শেষে,"('এপিটাফ', 0.0)","('নক্ষত্রের রাত', 0.77)","('কে কথা কয়', 0.8)"
এপিটাফ,"('দিনের শেষে', 0.0)","('নক্ষত্রের রাত', 0.77)","('কে কথা কয়', 0.8)"
কে কথা কয়,"('নক্ষত্রের রাত', 0.12)","('মধ্যাহ্ন', 0.62)","('দিনের শেষে', 0.8)"
মেঘ বলেছে যাব যাব,"('নক্ষত্রের রাত', 1.11)","('কে কথা কয়', 1.23)","('মৃন্ময়ীর মন ভালো নেই', 1.41)"
মধ্যাহ্ন,"('কে কথা কয়', 0.62)","('নক্ষত্রের রাত', 0.66)","('মৃন্ময়ীর মন ভালো নেই', 1.41)"
মৃন্ময়ীর মন ভালো নেই,"('নক্ষত্রের রাত', 1.19)","('কে কথা কয়', 1.22)","('দিনের শেষে', 1.41)"
নক্ষত্রের রাত,"('কে কথা কয়', 0.12)","('মধ্যাহ্ন', 0.66)","('দিনের শেষে', 0.77)"
